iter	Passed	Remaining
929	6175	464
930	6180	458
931	6187	451
932	6192	444
933	6198	438
934	6206	431
935	6211	424
936	6218	418
937	6225	411
938	6233	404
939	6239	398
940	6244	391
941	6251	384
942	6258	378
943	6266	371
944	6273	365
945	6279	358
946	6286	351
947	6291	345
948	6298	338
949	6304	331
950	6310	325
951	6317	318
952	6322	311
953	6330	305
954	6335	298
955	6341	291
956	6348	285
957	6355	278
958	6362	272
959	6367	265
960	6374	258
961	6380	252
962	6386	245
963	6392	238
964	6399	232
965	6405	225
966	6412	218
967	6417	212
968	6424	205
969	6430	198
970	6436	192
971	6443	185
972	6450	179
973	6458	172
974	6464	165
975	6471	159
976	6477	152
977	6484	145
978	6491	139
979	6497	132
980	6504	125
981	6509	119
982	6515	112
983	6522	106
984	6529	99
985	6543	92
986	6549	86
987	6555	79
988	6563	72
989	6568	66
990	6575	59
991	6581	53
992	6589	46
993	6594	39
994	6601	33
995	6607	26
996	6613	19
997	6622	13
998	6629	6
999	6636	0
